時間戳記,你想留下的名字！（也可以寫匿名沒有問題）,想要在網站上放的頭貼！當然想跳過也沒問題！（請幫忙把檔案格式命名為圖中的格式－你的名字+頭貼喔~例如Popapo_頭貼）,想對吐司說的話！,想給吐司的東西！(請幫忙把檔案格式命名為圖中的格式－  你的名字+物品名稱喔~例如Popapo_生日快樂歌錄音檔，匿名者寫成匿名_XXXXX即可)
2025/7/8 上午 12:41:59,地下室生物,https://drive.google.com/open?id=1FTincy-bTfRWg9-R7S-VOMetZnL9PkjL,加油 你是最棒的 接下來一定會越來越好 但也要注意休息哦,
2025/7/10 下午 8:02:30,青色的天空,https://drive.google.com/open?id=1Tsu5QrYTx1msan4M88_wlQxXa8VPWnRd,"
雖然才剛認識瓦熊大佬不久
但被打遊戲最帥氣
還有唱歌最好聽的
以及畫圖跟建模都超級厲害的繪圖大佬模術司 - 瓦熊老大
身為煎蛋們的一份子
祝老大願望都能實現
by 青空",https://drive.google.com/open?id=1LrpMJmkWyZcjggx1kk0jKFnETy61p9jH
2025/7/11 上午 2:42:00,啊狼,https://drive.google.com/open?id=1S51CrPaDY33n7fff3apZbJmNjEqm9Wyb,"吐司 生日快樂
由於一些機緣巧合下我認識了如此可愛的吐司
也因為一些緣分我可以當上吐司的mod
其實我很感謝妳這麼信任我
去年因為太過於臨時所以無法給你太多的驚喜
今年能跟著大家一起準備希望你會開心
未來的日子裡也希望你繼續帶著活潑可愛的情緒分享給大家",
2025/7/18 下午 5:19:01,Dkoctro,https://drive.google.com/open?id=1UrhMa3MPPVqEwPTotrwJLvNKtw7n5lTI,吐司生日快樂！當初第一次見到你的時候就覺得你很可愛，開台的風格也是我喜歡的類型，因此馬上就常駐了下來，雖然之後因為要忙的關係，所以比較不會出現，但我還是會繼續支持你的！,
2025/7/19 下午 4:48:34,盤子サラ,https://drive.google.com/open?id=1QDaCoAERj8FIHJeJxJpL9fTsBsMkUVP3,吐司神生日快樂! 祝賀的話我不太會說 所以努力趕工畫了賀圖 希望不會髒了您的眼睛｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡,https://drive.google.com/open?id=1iM-cV4-2k6miporeZmwyKhsyyXrZd5Ad
2025/7/20 上午 7:26:05,汁貓,,忙鼠還是要偷偷祝福吐司生日快樂！,
2025/7/20 上午 10:30:25,樹木,https://drive.google.com/open?id=181p3QRqDSnoP12kcU5ajVT-Gv2Mw-M7z,"
對我來說
吐司就像是個開著多功能表演車的瓦熊行動藝人
在城市的小角落，找到對的位置，架好投影布幕
開始你充滿想像的表演
那可能是靜態的畫畫、動起來的畫畫(Live2d)、或是讓動起來的畫畫會唱歌(瓦熊唱歌)
我就是個小煎蛋，在下班的通勤時；在睡前的耍費時；在假日的晨曦時
剛好的距離，我靜靜的聆聽你的表演
你很享受這種表演，我很享受你的表演
這樣就足夠了，對吧!

你像是個小朋友
很害羞，但是還是想跟大家交朋友
做了好多嘗試，幸好，身邊總是遇到溫暖、善良的大朋友
你的mod們、網路上遇到的各種繪師及好朋友們
能夠給妳很多正向的能量及建議

妳快樂的開台，帶給我們快樂
這是最重要的
今天是你生日，感謝mod們給我這個機會可以跟你祝福
祝你生日快樂
你是最棒的瓦熊
耶比!!",
2025/7/20 下午 4:11:01,北極兔,https://drive.google.com/open?id=1J39yP_DDejvK2S3fBG_viZ5z8IfjZf8S,畫畫超級好看的吐司生日快樂!! 從剛認識吐司到現在，對吐司的印象都沒改變，是個非常有禮貌又活潑可愛的瓦熊，很開心能在今年二月的FF見到吐司，祝妳事事順心~天天開心🧡,
2025/7/21 上午 12:10:46,猜猜看,https://drive.google.com/open?id=1-A6S0Y56bUlQcvq7zmSq-uq7gkQhwLwZ,"生日從來都不是妳一個人的節日喔🎂
願意為妳點蠟燭、唱歌、歡聲鼓掌的人可都在這㊗️
在座的每個人都真心的感謝妳降生在這個世界上💐謝謝妳總是一如既往的陪伴和支持著我們❤️
願妳的畫筆始終流暢🖌️冀妳的毛髮總是蓬鬆🫳望妳的未來永不暗淡🌟祝家人和妳圓滿安康🦝🦝🦝🦝
最後請讓我再祝我們最可愛的小瓦熊生辰日旦快樂🎊要放煙火啦🎆
Kai🌲🌲🌲敬上",
2025/7/21 上午 4:15:43,ㄌㄌㄩ,https://drive.google.com/open?id=1cLKKgtKX4Xa_Yepxy7i5cda5VMyL8lOv,"吐司生日快樂~!
在忙碌之中也記得緩下腳步休息一下
祝你委託多多
又不會畫不完
只有錢賺不完
也祝你身體健康
直播開到80歲~","https://drive.google.com/open?id=16FdbGxCrhuQ6ugO9TPG8x59g2Ep8jgu2, https://drive.google.com/open?id=1B0N7aHGYujNxR-6owFAcCGm52JjG2ivr"
2025/7/21 上午 9:06:15,鐵匠,https://drive.google.com/open?id=1ktOnnPUvUJceEOQQ9kqFaKCCtPlOV858,吐司生日快肉!!!!之後有空再一起玩咧!!,https://drive.google.com/file/d/1DpOLyt3303F-2yOt7bPeShzhbt_RpK49/view?usp=drive_link
2025/7/22 下午 11:58:52,青色的天空,,"雖然才剛認識瓦熊大佬短短幾個月
但被打遊戲最帥氣
還有唱歌最好聽的
以及畫圖跟建模都超級厲害的繪圖大佬模術司 - 瓦熊老大
身為煎蛋們的一份子
祝老大願望都能實現
by 青空","https://drive.google.com/open?id=1cODAzbk6X2uftiGiIUC5CToG2_qKg_5m, https://drive.google.com/open?id=1RKhTFVmPFs0dGI4KOgD0r6zrz14OF4eu"
2025/7/23 上午 2:05:03,罐頭,https://drive.google.com/open?id=1xD0SS2-xAbYQ1iWjSIjIBH6NVuxRgvx5,有太多的話想說，但我並不善於表達。希望這套圖可以讓妳收到我的心意，也希望未來吐司可以順利朝自己的夢想邁進！,
2025/7/23 上午 8:11:20,彼岸花,https://drive.google.com/open?id=1_N9Lx5ku_76h7JBE0q8jcpAHYCT9iJYg,吐司生日快樂 希望我們之後可以更熟絡變成好朋友~,
2025/7/23 下午 3:47:44,leafwind,https://drive.google.com/open?id=1VbD74NYol0LENq-JWXT2cboriaEitbZO,恭喜吐司生日，雖然我是剛加入的小菜雞，接下來的實況生涯多多指教，以及祝福吐司未來的人生能夠跟RGB一樣多采多姿！,
2025/7/23 下午 6:00:31,冬眠の企鵝,,瓦熊瓦熊生日與一週年快樂૮ ˃̵ ֊ ˂̵ ა不得不說你FAFA真的很可愛還有你的瓦餐歌真的唱的好好聽⸜( ˶'ᵕ'˶)⸝雖然我們認識不久但是還是祝你生日快樂૮ ˃̵ ֊ ˂̵ ა期待我們的下個周年ᐠ( ᐕ )ᐟ,
2025/7/25 下午 8:48:35,キく,https://drive.google.com/open?id=1VqGT5CxRvgnZrrGu54SM0eRGgGHR-XAR,很高興能因為Live2D而認識到這麼充滿陽光又有能量的吐司！！！妳總是散發出對這個世界充滿熱情的光芒，感染著身邊的每一個人，真的是會讓人覺得不可思議的存在，即使妳自己可能已經習慣了這種自我肯定+不吝稱讚他人+愛自己也愛大家的行為，但妳必須知道這是妳很厲害的地方！（指指點點）如果吐司是某種口味的吐司的話，那肯定是曬過太陽又加了海鹽還抹了清爽奶油再加上各種香料去烤出來的多層次吐司，恭喜妳又要長一歲啦！這麼年輕又這麼有能力的瓦熊哪裡找，能認識妳真的是太開心ㄌ，以後還請多多指教！！祝吐司生日快樂&一週年快樂🍞🎂🥳ᕼᗩᑭᑭY ᗷIᖇTᕼᗞᗩY🎉🎉🎉,
2025/7/26 上午 12:22:42,MrPopapo,https://drive.google.com/open?id=1HUxwYa9OzF_0_sQIJS_-wLA7Y3mu1_Rl,"吐司生日＋一週年快樂!!
不知不覺我們也認識一年了，想當初認識你的契機就正是因為生日表單活動，沒想到過了一年之後換我來偷偷的辦這個ww總之希望你喜歡這一份驚喜禮物啦~
其他的話我也不說太多了，總之未來請多多指教囉，我還等著參加你的23456週年活動呢！",https://drive.google.com/open?id=1_vFL7gvmk9k6MU1g2a2l2QyXGGiztruC
2025/7/26 上午 4:38:14,塔努努,https://drive.google.com/open?id=1jBFnTMIhwU9pCCfHfci-Qf7ImAzzilgs,親愛的吐司：妳知道我是愛妳的♥生日大快樂！我等著妳跟我一起把亞曼推倒(*´∀`),https://drive.google.com/open?id=1Lj-griKHrq9xL-rhxZKkPZprXufRwVXF
2025/7/27 下午 6:53:38,罐罐,https://drive.google.com/open?id=1R-76o2G02Vx8LCCihKaDDUVUFie7vDXI,吐司生日快樂！！吐司大老的圖超級Ｑ超級可愛，每次看到我的錢包都在衝動ＲＲＲ，禮物是兌換卷hehe,https://drive.google.com/open?id=192kAS5_AqIS026hb6Zipaude6qNKIWrn
2025/7/29 上午 5:19:06,吳鎮東,,聽到吐司說話，心情總是會變好，希望吐司也能每天過得開心。,
2025/7/30 下午 8:09:21,米歐,https://drive.google.com/open?id=1rd8emNgmIriXem0qvkrGjoUMEaZcSdhq,瓦熊生ㄖ快樂啊~~ 你真的是會帶給大家歡樂的超棒瓦熊!!! 一開始覺得你是個很ㄎ一ㄤ的瓦熊，進一步認識後發現不只ㄎ一ㄤ，還很神奇!! 會變魔法的瓦熊!!! 再次祝福超膩害又神奇的瓦熊生ㄖ快樂，蛋糕吃飽飽!!!,https://drive.google.com/open?id=1uV42_9xBfkKHKTWFoU_Dq_cE0U3No_Qa
2025/7/31 上午 1:10:44,雙太,https://drive.google.com/open?id=1mjdH3aLWZ2SyMgWJkqMzGWnKbgfyXQRA,祝吐司每天可以開開心心，順順利利一整年!! 生日快樂唷,https://drive.google.com/open?id=14xMa1U2aVodKZU1SVdyDnF4Sxz_Etvnu
2025/8/1 上午 1:41:05,星月なるこ,https://drive.google.com/open?id=1aX4c07FEDsd0FCu2_XSaDmTAthnlyLbZ,"嗨
我是本次企劃負責做出這個頁面的なるこ
本頁面是使用google form收集訊息後透過google sheet抓取資料來渲染的
底層是next.js
本次頁面是由popapo向我委託的
本次頁面源代碼在github.com/toasti-birthday-anniversary/toasti-birthday-anniversary.github.io歡迎拿去玩~~
祝妳生日快樂
お誕生日おめでとうと！",
2025/8/1 上午 2:40:22,米梵堡,https://drive.google.com/open?id=1lBGvoqytn0-OwI_5F_r61UMpxF6mGbnS,吐司好好吃 瓦熊生日快樂,
2025/8/1 上午 2:44:07,昂勒,https://drive.google.com/open?id=1hrSdZiXlb2dH-ZA69OGZaLAinWCkzGLP,已經偷偷說了>:D嘿嘿,https://drive.google.com/open?id=1HUcKkU2GznluYRK3-sc_q_wf9pIOvb2w
